t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
1163.33,100,51,45851,81920,335.42,400.00,1410,57
1173.36,100,50,45851,81920,344.91,400.00,1410,57
1183.38,100,59,45851,81920,283.73,400.00,1410,53
1193.41,100,63,45851,81920,292.20,400.00,1410,53
1203.44,100,36,45851,81920,392.84,400.00,1410,61
1213.47,100,50,45851,81920,340.15,400.00,1410,59
1223.49,100,55,45851,81920,351.14,400.00,1410,59
1233.52,100,54,45851,81920,276.45,400.00,1410,55
1243.55,100,61,45851,81920,296.84,400.00,1410,55
1253.58,100,54,45851,81920,392.60,400.00,1410,60
1263.61,100,51,45851,81920,378.24,400.00,1410,60
1273.63,100,57,45851,81920,404.23,400.00,1410,60
1283.66,100,49,45851,81920,266.40,400.00,1410,57
1293.69,100,62,45851,81920,300.05,400.00,1410,56
1303.72,100,65,45851,81920,303.50,400.00,1410,56
1313.74,100,37,45851,81920,395.03,400.00,1395,63
1323.77,100,50,45851,81920,343.65,400.00,1410,60
1333.8,100,56,45851,81920,356.29,400.00,1410,61
1343.83,100,57,45851,81920,280.17,400.00,1410,55
1353.86,100,65,45851,81920,308.20,400.00,1410,55
1363.89,100,49,45851,81920,475.77,400.00,1395,60
1373.91,96,47,45851,81920,386.37,400.00,1410,61
1383.95,100,63,45851,81920,399.36,400.00,1410,61
1393.97,90,45,45851,81920,265.57,400.00,1410,54
1404.0,100,62,45851,81920,297.81,400.00,1410,55
1414.03,100,68,45851,81920,316.03,400.00,1410,55
1424.06,100,36,45851,81920,389.63,400.00,1365,63
1434.08,98,66,45851,81920,382.81,400.00,1410,59
1444.11,100,50,45851,81920,342.72,400.00,1410,60
1454.14,100,58,45851,81920,286.20,400.00,1410,54
1464.17,100,66,45851,81920,309.21,400.00,1410,55
1474.19,99,54,45851,81920,385.83,400.00,1410,59
1484.22,98,78,45851,81920,377.71,400.00,1410,59
1494.25,100,50,45851,81920,363.06,400.00,1410,60
1504.28,100,52,45851,81920,274.25,400.00,1410,54
1514.31,100,59,45851,81920,287.77,400.00,1410,53
1524.33,100,48,45851,81920,366.96,400.00,1410,57
1534.36,98,69,45851,81920,357.36,400.00,1410,57
1544.39,100,54,45851,81920,343.01,400.00,1395,58
1554.42,100,49,45851,81920,232.16,400.00,1395,56
1564.45,100,58,45851,81920,169.10,400.00,1410,53
1574.48,100,62,45851,81920,296.74,400.00,1410,53
1584.5,100,49,45851,81920,401.17,400.00,1365,60
1594.53,100,51,45851,81920,362.52,400.00,1410,58
1604.56,100,57,45851,81920,362.51,400.00,1410,58
1614.59,100,55,45851,81920,280.76,400.00,1410,53
1624.62,100,65,45851,81920,305.99,400.00,1410,53
1634.65,100,62,45851,81920,380.99,400.00,1395,57
1644.68,97,48,45851,81920,341.96,400.00,1395,56
1654.71,98,78,45851,81920,361.28,400.00,1410,58
1664.74,100,65,45851,81920,348.83,400.00,1410,58
1674.76,100,60,45851,81920,289.92,400.00,1410,53
1684.82,100,68,45851,81920,307.87,400.00,1410,52
1694.85,100,42,45851,81920,391.20,400.00,1410,58
1704.88,98,62,45851,81920,369.92,400.00,1395,56
1714.91,100,51,45851,81920,361.97,400.00,1410,56
1724.93,100,56,45851,81920,274.98,400.00,1410,50
1734.96,100,60,45851,81920,282.09,400.00,1410,49
1744.99,100,55,45851,81920,341.94,400.00,1410,54
1755.03,96,48,45851,81920,358.19,400.00,1410,55
1765.05,98,80,45851,81920,325.69,400.00,1410,55
1775.08,100,52,45851,81920,268.30,400.00,1410,51
1785.11,100,60,45851,81920,284.56,400.00,1410,51
1795.14,100,53,45851,81920,298.96,400.00,1395,55
1805.17,100,50,45851,81920,278.69,400.00,1410,55
1815.2,98,74,45851,81920,356.01,400.00,1410,56
1825.23,100,50,45851,81920,353.03,400.00,1410,57
1835.26,100,58,45851,81920,282.99,400.00,1410,51
1845.29,100,63,45851,81920,295.85,400.00,1410,51
1855.32,100,47,45851,81920,379.03,400.00,1410,58
1865.35,100,50,45851,81920,378.30,400.00,1410,56
1875.38,97,48,45851,81920,382.26,400.00,1395,54
1885.4,100,55,45851,81920,271.48,400.00,1410,50
1895.43,100,62,45851,81920,293.65,400.00,1410,49
1905.46,100,49,45851,81920,307.98,400.00,1410,53
1915.49,100,51,45851,81920,360.09,400.00,1410,53
1925.52,97,48,45851,81920,363.13,400.00,1410,53
1935.55,100,49,45851,81920,260.93,400.00,1410,48
1945.58,100,55,45851,81920,258.29,400.00,1410,46
1955.61,100,60,45851,81920,453.13,400.00,1395,50
1965.63,100,50,45851,81920,325.77,400.00,1410,50
1975.66,96,47,45851,81920,366.50,400.00,1410,52
1985.69,100,51,45851,81920,327.05,400.00,1410,52
1995.73,100,60,45851,81920,277.34,400.00,1410,46
2005.75,100,64,45851,81920,290.42,400.00,1410,46
2015.78,100,45,45851,81920,384.14,400.00,1410,53
2025.81,100,50,45851,81920,357.40,400.00,1410,52
2035.84,100,50,45851,81920,370.59,400.00,1410,51
2045.87,100,56,45851,81920,271.08,400.00,1410,46
2055.9,100,64,45851,81920,295.05,400.00,1410,46
2065.93,100,58,45851,81920,369.29,400.00,1395,50
2075.95,98,73,45851,81920,251.27,400.00,1410,50
2085.98,100,51,45851,81920,354.99,400.00,1410,51
2096.01,100,51,45851,81920,258.21,400.00,1410,46
2106.04,100,61,45851,81920,279.96,400.00,1410,45
2116.07,100,50,45851,81920,337.66,400.00,1380,47
2126.1,100,50,45851,81920,342.24,400.00,1410,50
2136.13,98,78,45851,81920,285.11,400.00,1410,51
2146.16,100,50,45851,81920,352.05,400.00,1410,50
2156.19,100,60,45851,81920,284.87,400.00,1410,46
