t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
0.0,0,0,0,81920,60.51,400.00,210,28
5.05,0,0,0,81920,60.64,400.00,210,28
10.11,0,0,1,81920,60.70,400.00,210,28
15.61,0,0,7207,81920,67.08,400.00,1155,28
20.66,0,0,7355,81920,66.92,400.00,1155,28
25.72,27,0,11033,81920,67.59,400.00,1155,28
30.77,10,3,23427,81920,69.64,400.00,1155,29
35.83,0,0,23527,81920,66.71,400.00,1155,28
40.89,100,55,23667,81920,258.10,400.00,1410,38
45.94,100,60,23667,81920,275.66,400.00,1410,41
51.0,88,57,23667,81920,291.72,400.00,1410,43
56.06,100,68,23667,81920,299.29,400.00,1410,45
61.12,100,54,45603,81920,345.54,400.00,1410,48
66.17,100,37,45683,81920,381.78,400.00,1410,52
71.24,100,51,45693,81920,310.50,400.00,1410,48
76.29,100,63,45745,81920,288.05,400.00,1410,49
81.35,94,47,45745,81920,365.39,400.00,1410,52
86.43,100,50,45745,81920,350.35,400.00,1410,51
91.49,100,50,45745,81920,297.49,400.00,1410,50
96.55,100,55,45775,81920,269.30,400.00,1410,48
101.64,100,59,45775,81920,281.71,400.00,1410,48
106.69,100,63,45775,81920,288.37,400.00,1410,48
111.75,100,64,45775,81920,296.24,400.00,1410,49
116.81,100,54,45793,81920,349.28,400.00,1410,53
121.87,100,45,45795,81920,382.51,400.00,1410,55
126.92,100,51,45843,81920,340.71,400.00,1410,52
131.98,100,51,45843,81920,296.56,400.00,1410,52
137.04,100,48,45843,81920,287.45,400.00,1395,51
142.1,100,51,45843,81920,318.98,400.00,1410,52
147.16,100,50,45843,81920,252.93,400.00,1410,49
152.22,100,57,45843,81920,276.23,400.00,1410,49
157.27,100,62,45843,81920,291.40,400.00,1410,49
162.34,100,66,45843,81920,298.70,400.00,1410,50
167.4,100,68,45843,81920,306.94,400.00,1410,50
172.46,100,55,45843,81920,362.58,400.00,1410,54
177.52,100,45,45843,81920,385.90,400.00,1410,56
182.58,97,79,45843,81920,347.35,400.00,1410,54
187.64,100,48,45843,81920,278.23,400.00,1410,54
192.69,100,51,45843,81920,327.51,400.00,1410,54
197.76,100,51,45843,81920,349.05,400.00,1410,55
202.81,100,51,45843,81920,256.24,400.00,1410,50
207.87,100,56,45843,81920,264.74,400.00,1410,49
212.93,100,58,45843,81920,273.46,400.00,1410,49
217.99,100,60,45843,81920,274.75,400.00,1410,49
223.05,100,57,45843,81920,355.69,400.00,1410,53
228.11,100,46,45843,81920,407.29,400.00,1395,56
233.17,100,51,45843,81920,323.49,400.00,1410,53
238.22,100,50,45843,81920,312.73,400.00,1395,53
243.28,94,48,45843,81920,357.86,400.00,1410,54
248.38,100,50,45843,81920,342.45,400.00,1410,53
253.5,100,50,45843,81920,359.61,400.00,1410,54
258.58,100,55,45843,81920,269.67,400.00,1410,49
263.64,100,60,45843,81920,287.71,400.00,1410,50
268.7,100,65,45843,81920,303.57,400.00,1410,50
273.76,100,67,45843,81920,309.09,400.00,1410,50
278.82,100,54,45843,81920,366.59,400.00,1410,54
283.88,100,44,45843,81920,364.22,400.00,1410,56
288.99,100,49,45845,81920,307.92,400.00,1395,53
294.05,100,51,45845,81920,355.05,400.00,1410,54
299.1,97,77,45845,81920,405.50,400.00,1410,54
304.16,95,51,45845,81920,368.79,400.00,1410,55
309.22,100,50,45845,81920,348.95,400.00,1410,55
314.28,100,55,45845,81920,264.73,400.00,1410,49
319.38,100,55,45845,81920,256.78,400.00,1410,48
324.44,100,60,45845,81920,269.29,400.00,1410,48
329.5,0,0,45845,81920,86.15,400.00,1410,42
334.56,100,51,45845,81920,364.22,400.00,1410,54
339.61,100,40,45845,81920,90.95,400.00,1410,48
344.67,100,50,45849,81920,299.55,400.00,1410,54
349.72,97,72,45849,81920,311.09,400.00,1410,53
354.82,94,48,45849,81920,389.47,400.00,1410,55
359.88,100,51,45849,81920,342.92,400.00,1410,54
364.94,100,54,45849,81920,267.19,400.00,1410,49
370.0,100,60,45849,81920,283.51,400.00,1410,50
375.06,100,64,45849,81920,300.80,400.00,1410,50
380.11,100,68,45849,81920,306.58,400.00,1410,51
385.2,100,54,45849,81920,357.40,400.00,1395,54
390.29,100,44,45849,81920,388.14,400.00,1410,56
395.38,100,51,45849,81920,334.35,400.00,1410,53
400.46,100,52,45849,81920,352.57,400.00,1410,54
405.51,94,47,45849,81920,283.22,400.00,1410,52
410.57,100,50,45849,81920,284.74,400.00,1395,53
415.62,37,27,45849,81920,262.61,400.00,1410,50
420.67,100,56,45849,81920,270.83,400.00,1410,50
425.73,100,60,45849,81920,284.74,400.00,1410,50
430.78,100,61,45849,81920,290.50,400.00,1410,50
435.84,100,64,45849,81920,293.81,400.00,1410,50
440.89,100,50,45849,81920,365.50,400.00,1410,54
445.95,100,45,45849,81920,381.26,400.00,1410,57
451.01,97,66,45849,81920,326.20,400.00,1410,54
456.06,94,48,45849,81920,377.28,400.00,1410,55
461.11,100,50,45849,81920,332.24,400.00,1410,54
466.16,100,50,45849,81920,362.83,400.00,1410,55
471.21,100,51,45849,81920,260.55,400.00,1410,50
476.26,100,58,45849,81920,285.06,400.00,1410,50
481.32,100,63,45849,81920,292.94,400.00,1410,50
486.37,100,66,45849,81920,298.65,400.00,1410,50
491.42,0,0,45849,81920,86.29,400.00,1410,43
496.47,100,55,45849,81920,381.26,400.00,1410,55
501.52,100,36,45849,81920,389.99,400.00,1380,58
506.58,100,51,45849,81920,346.20,400.00,1410,54
511.63,98,78,45849,81920,337.73,400.00,1410,54
516.68,100,51,45849,81920,363.38,400.00,1410,55
521.74,100,51,45849,81920,359.15,400.00,1410,55
526.79,100,51,45849,81920,259.96,400.00,1410,50
531.85,79,46,45849,81920,281.42,400.00,1410,49
536.9,100,63,45849,81920,293.81,400.00,1410,50
541.96,100,66,45849,81920,304.45,400.00,1410,50
547.01,0,0,45849,81920,86.10,400.00,1410,42
552.06,100,50,45849,81920,392.51,400.00,1410,55
557.13,100,45,45849,81920,410.76,400.00,1380,57
562.19,100,52,45849,81920,359.52,400.00,1410,54
567.24,100,51,45849,81920,328.31,400.00,1410,55
572.29,98,73,45849,81920,367.56,400.00,1410,55
577.35,100,51,45849,81920,360.11,400.00,1410,55
582.41,100,48,45849,81920,257.24,400.00,1410,50
587.46,100,55,45849,81920,271.74,400.00,1410,50
592.52,100,57,45849,81920,275.06,400.00,1410,50
597.57,100,60,45849,81920,278.38,400.00,1410,49
602.63,0,0,45849,81920,85.42,400.00,1410,41
607.76,100,49,45849,81920,418.98,400.00,1395,54
612.81,100,44,45849,81920,396.01,400.00,1410,57
617.87,100,51,45849,81920,334.01,400.00,1410,55
622.93,100,50,45849,81920,335.28,400.00,1410,55
627.98,100,51,45849,81920,349.19,400.00,1410,56
633.04,100,51,45849,81920,343.43,400.00,1410,56
638.09,100,50,45849,81920,361.64,400.00,1410,56
643.15,100,50,45849,81920,265.06,400.00,1410,52
648.21,100,57,45849,81920,286.85,400.00,1410,52
653.26,100,62,45849,81920,293.21,400.00,1410,52
658.32,100,66,45849,81920,302.00,400.00,1410,52
663.37,100,68,45849,81920,313.81,400.00,1410,52
668.43,100,54,45849,81920,357.67,400.00,1410,55
673.49,100,44,45849,81920,383.18,400.00,1410,57
678.54,100,48,45849,81920,355.39,400.00,1410,54
683.6,100,51,45849,81920,349.49,400.00,1410,54
688.66,100,50,45849,81920,344.33,400.00,1410,55
693.72,94,47,45849,81920,357.72,400.00,1410,55
698.78,100,49,45849,81920,259.50,400.00,1410,50
703.83,100,56,45849,81920,279.92,400.00,1410,50
708.89,100,61,45849,81920,292.30,400.00,1410,50
713.95,100,63,45849,81920,302.65,400.00,1410,50
719.01,100,65,45849,81920,297.48,400.00,1410,51
724.07,100,61,45849,81920,394.91,400.00,1410,56
729.19,100,49,45849,81920,406.77,400.00,1380,57
734.26,97,78,45849,81920,381.46,400.00,1395,55
739.32,100,51,45849,81920,368.76,400.00,1410,56
744.38,95,47,45849,81920,421.95,400.00,1395,55
749.44,100,51,45849,81920,328.58,400.00,1410,56
754.5,55,36,45849,81920,257.96,400.00,1410,52
759.56,100,56,45849,81920,275.72,400.00,1410,51
764.62,100,62,45849,81920,290.77,400.00,1410,51
769.67,100,65,45849,81920,304.82,400.00,1410,51
774.73,100,68,45849,81920,313.05,400.00,1410,51
779.79,100,51,45849,81920,374.01,400.00,1410,55
784.86,100,45,45849,81920,403.89,400.00,1410,57
789.92,100,49,45849,81920,224.48,400.00,1410,53
794.98,100,51,45849,81920,367.24,400.00,1410,55
800.04,100,50,45849,81920,352.57,400.00,1410,55
805.1,95,48,45849,81920,372.36,400.00,1410,56
810.16,100,50,45849,81920,262.29,400.00,1410,50
815.21,100,57,45849,81920,282.58,400.00,1410,50
820.28,100,61,45849,81920,290.15,400.00,1410,50
825.32,100,66,45849,81920,308.20,400.00,1410,51
830.38,100,68,45849,81920,312.21,400.00,1410,51
835.44,100,57,45849,81920,392.37,400.00,1410,55
840.5,100,49,45849,81920,454.02,400.00,1380,56
845.55,97,78,45849,81920,326.84,400.00,1410,54
850.61,100,51,45849,81920,325.08,400.00,1410,54
855.67,100,59,45849,81920,346.60,400.00,1410,54
860.72,100,51,45849,81920,340.19,400.00,1410,54
865.79,100,50,45849,81920,186.73,400.00,1410,49
870.84,100,56,45849,81920,279.74,400.00,1410,50
875.94,100,62,45849,81920,290.76,400.00,1410,50
880.99,100,66,45849,81920,308.48,400.00,1410,51
886.05,100,68,45849,81920,306.67,400.00,1410,51
891.11,100,50,45849,81920,349.79,400.00,1410,54
896.17,100,45,45849,81920,385.36,400.00,1410,57
901.25,97,48,45849,81920,356.97,400.00,1395,54
906.31,94,47,45849,81920,366.02,400.00,1410,56
911.37,100,51,45849,81920,348.23,400.00,1410,56
916.42,98,78,45849,81920,360.72,400.00,1410,56
921.48,100,51,45849,81920,258.97,400.00,1410,51
926.54,100,57,45849,81920,274.99,400.00,1410,51
931.59,100,57,45849,81920,269.89,400.00,1410,50
936.65,100,61,45849,81920,269.17,400.00,1410,49
941.71,100,55,45849,81920,375.59,400.00,1410,53
946.77,100,37,45849,81920,386.89,400.00,1395,56
951.82,100,51,45849,81920,319.42,400.00,1410,54
956.89,100,50,45849,81920,309.03,400.00,1410,54
961.95,100,50,45849,81920,317.78,400.00,1410,55
967.01,100,62,45849,81920,283.86,400.00,1410,52
972.06,100,50,45849,81920,329.00,400.00,1410,55
977.12,100,55,45849,81920,268.33,400.00,1410,50
982.18,100,59,45849,81920,281.37,400.00,1410,50
987.24,100,59,45849,81920,276.55,400.00,1410,49
992.3,100,60,45849,81920,267.48,400.00,1410,48
997.36,100,55,45849,81920,363.89,400.00,1410,54
1002.42,100,45,45849,81920,387.14,400.00,1410,57
1007.48,100,50,45849,81920,334.87,400.00,1410,54
1012.53,100,50,45849,81920,374.01,400.00,1335,56
1017.6,100,51,45849,81920,323.21,400.00,1410,55
1022.65,97,79,45849,81920,315.71,400.00,1410,54
1027.71,100,51,45849,81920,259.50,400.00,1410,50
1032.77,100,58,45849,81920,271.49,400.00,1410,50
1037.82,100,62,45849,81920,292.90,400.00,1410,50
1042.88,100,63,45849,81920,292.00,400.00,1410,50
1047.94,0,0,45849,81920,88.26,400.00,1410,42
1052.99,100,55,45849,81920,366.07,400.00,1410,54
1058.05,100,44,45849,81920,385.56,400.00,1410,57
1063.11,100,60,45849,81920,367.20,400.00,1410,54
1068.19,94,47,45849,81920,370.05,400.00,1410,55
1073.26,100,50,45849,81920,323.16,400.00,1410,55
1078.32,100,59,45849,81920,375.61,400.00,1410,56
1083.37,100,53,45849,81920,269.26,400.00,1410,50
1088.43,100,59,45849,81920,280.95,400.00,1410,50
1093.53,100,60,45849,81920,286.74,400.00,1410,49
1098.58,100,65,45849,81920,297.76,400.00,1410,50
1103.73,100,58,45849,81920,382.51,400.00,1410,54
1108.8,100,48,45849,81920,402.45,400.00,1395,56
1113.86,100,48,45849,81920,396.10,400.00,1410,53
1118.93,100,51,45849,81920,273.83,400.00,1410,54
1123.98,100,51,45849,81920,339.87,400.00,1410,54
1129.06,97,73,45849,81920,352.23,400.00,1410,54
1134.14,100,50,45849,81920,118.83,400.00,1410,50
1139.2,100,54,45849,81920,263.22,400.00,1410,49
1144.26,100,57,45849,81920,279.59,400.00,1410,49
1149.32,100,60,45849,81920,268.39,400.00,1410,48
1154.37,0,0,45849,81920,345.55,400.00,1410,49
1159.42,100,54,45849,81920,357.40,400.00,1410,54
1164.47,100,67,45849,81920,265.33,400.00,1395,50
1169.52,100,57,45849,81920,279.63,400.00,1395,51
1174.58,95,46,45849,81920,368.49,400.00,1410,54
1179.63,100,51,45849,81920,318.33,400.00,1410,53
1184.69,100,50,45849,81920,359.20,400.00,1410,54
1189.74,100,54,45849,81920,268.98,400.00,1410,49
1194.79,100,60,45849,81920,280.51,400.00,1410,49
1199.85,100,61,45849,81920,285.65,400.00,1410,49
1204.9,100,66,45849,81920,293.81,400.00,1410,50
1209.96,100,54,45849,81920,368.81,400.00,1410,54
1215.02,100,40,45849,81920,384.23,400.00,1410,56
1220.07,100,50,45849,81920,311.37,400.00,1410,53
1225.12,95,48,45849,81920,368.49,400.00,1410,55
1230.18,100,51,45849,81920,318.05,400.00,1410,54
1235.23,100,49,45849,81920,367.94,400.00,1410,55
1240.28,100,59,45849,81920,380.99,400.00,1410,55
1245.34,100,55,45849,81920,271.15,400.00,1410,49
1250.39,100,59,45849,81920,279.30,400.00,1410,49
1255.44,100,61,45849,81920,288.70,400.00,1410,49
1260.5,100,64,45849,81920,294.71,400.00,1410,49
1265.55,100,55,45849,81920,364.85,400.00,1410,54
1270.61,100,40,45849,81920,408.71,400.00,1395,55
1275.66,97,71,45849,81920,338.92,400.00,1410,54
1280.71,97,74,45849,81920,351.87,400.00,1410,54
1285.76,100,51,45849,81920,375.22,400.00,1410,55
1290.82,100,51,45849,81920,358.22,400.00,1410,55
1295.87,100,52,45849,81920,260.23,400.00,1410,50
1300.92,100,57,45849,81920,281.11,400.00,1410,49
1305.97,100,63,45849,81920,296.24,400.00,1410,50
1311.02,100,67,45849,81920,307.17,400.00,1410,50
1316.08,50,34,45849,81920,86.38,400.00,1410,44
1321.13,100,49,45849,81920,361.91,400.00,1410,54
1326.18,100,45,45849,81920,296.56,400.00,1380,55
1331.24,100,50,45849,81920,367.94,400.00,1410,55
1336.3,100,51,45849,81920,328.00,400.00,1410,55
1341.36,98,79,45849,81920,322.57,400.00,1410,54
1346.41,100,55,45849,81920,283.23,400.00,1395,54
1351.46,100,53,45849,81920,265.67,400.00,1410,50
1356.52,100,58,45849,81920,280.51,400.00,1410,49
1361.58,100,63,45849,81920,291.69,400.00,1410,50
1366.63,100,63,45849,81920,292.02,400.00,1410,50
1371.69,100,54,45849,81920,340.44,400.00,1395,53
1376.75,100,44,45849,81920,386.35,400.00,1410,57
1381.8,98,74,45849,81920,342.20,400.00,1410,54
1386.86,100,47,45849,81920,314.08,400.00,1410,54
1391.91,100,50,45849,81920,349.19,400.00,1410,56
1396.97,100,51,45849,81920,344.95,400.00,1410,56
1402.02,100,51,45849,81920,344.08,400.00,1410,57
1407.08,100,54,45849,81920,272.01,400.00,1410,52
1412.14,100,60,45849,81920,288.37,400.00,1410,52
1417.19,94,59,45849,81920,293.21,400.00,1410,52
1422.25,100,66,45849,81920,300.17,400.00,1410,52
1427.31,100,50,45849,81920,367.29,400.00,1365,56
1432.36,100,36,45849,81920,378.15,400.00,1410,57
1437.42,100,50,45849,81920,327.72,400.00,1410,55
1442.47,100,51,45849,81920,348.36,400.00,1410,55
1447.53,95,47,45849,81920,378.55,400.00,1410,57
1452.6,100,51,45849,81920,359.00,400.00,1410,55
1457.65,100,59,45849,81920,382.55,400.00,1410,56
1462.71,100,56,45849,81920,271.02,400.00,1410,50
1467.77,100,61,45849,81920,289.57,400.00,1410,50
1472.83,100,65,45849,81920,298.40,400.00,1410,51
1477.89,100,66,45849,81920,301.15,400.00,1410,51
1482.97,100,61,45849,81920,387.23,400.00,1395,55
1488.2,100,49,45849,81920,373.08,400.00,1395,57
1493.29,100,51,45849,81920,361.28,400.00,1410,56
1498.35,100,51,45849,81920,280.21,400.00,1410,56
1503.41,100,51,45849,81920,349.79,400.00,1410,56
1508.47,100,64,45849,81920,359.98,400.00,1410,56
1513.53,75,38,45849,81920,166.18,400.00,1410,52
1518.58,100,55,45849,81920,270.50,400.00,1410,50
1523.64,100,58,45849,81920,281.09,400.00,1410,50
1528.7,100,61,45849,81920,286.74,400.00,1410,50
1533.76,100,62,45849,81920,287.07,400.00,1410,50
1538.82,100,61,45849,81920,343.39,400.00,1410,55
1543.9,100,49,45849,81920,399.18,400.00,1350,55
1548.96,95,47,45849,81920,293.54,400.00,1380,53
1554.02,100,51,45849,81920,354.77,400.00,1410,54
1559.08,100,49,45849,81920,371.75,400.00,1410,55
1564.13,100,51,45849,81920,344.14,400.00,1410,55
1569.19,54,37,45849,81920,156.47,400.00,1410,51
1574.25,100,55,45849,81920,268.66,400.00,1410,50
1579.31,100,58,45849,81920,277.66,400.00,1410,49
1584.37,100,61,45849,81920,280.30,400.00,1410,49
1589.43,100,62,45849,81920,281.36,400.00,1410,49
1594.49,100,49,45849,81920,374.99,400.00,1410,55
1599.55,100,44,45849,81920,378.30,400.00,1410,57
1604.61,100,51,45849,81920,345.78,400.00,1410,54
1609.66,100,65,45849,81920,391.88,400.00,1410,55
1614.72,100,59,45849,81920,363.86,400.00,1410,54
1619.78,100,51,45849,81920,350.71,400.00,1410,55
1625.14,100,53,45849,81920,266.27,400.00,1410,50
1630.19,100,60,45849,81920,287.77,400.00,1410,50
1635.25,100,63,45849,81920,292.30,400.00,1410,50
1640.31,100,67,45849,81920,310.35,400.00,1410,51
1645.37,100,50,45849,81920,362.35,400.00,1410,53
1650.43,100,50,45849,81920,387.47,400.00,1365,55
1655.49,100,50,45849,81920,369.11,400.00,1410,54
1660.55,94,47,45849,81920,367.53,400.00,1410,56
1665.61,100,50,45849,81920,327.90,400.00,1410,56
