t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
242.94,0,0,74395,81920,71.39,400.00,1155,35
245.0,0,0,74395,81920,71.47,400.00,1155,35
247.07,0,0,74395,81920,71.32,400.00,1155,35
249.14,0,0,74395,81920,71.00,400.00,1155,35
251.21,0,0,74395,81920,71.07,400.00,1155,35
253.36,0,0,74395,81920,71.00,400.00,1155,35
255.43,0,0,74395,81920,71.00,400.00,1155,35
257.5,0,0,74395,81920,71.07,400.00,1155,35
259.57,0,0,74395,81920,71.07,400.00,1155,35
261.64,0,0,74395,81920,71.07,400.00,1155,35
263.7,0,0,74395,81920,71.07,400.00,1155,35
265.78,0,0,74395,81920,71.32,400.00,1155,35
267.85,0,0,74395,81920,71.39,400.00,1155,35
269.91,0,0,74395,81920,71.00,400.00,1155,35
271.97,0,0,74395,81920,71.00,400.00,1155,35
274.04,0,0,74395,81920,71.00,400.00,1155,35
276.11,0,0,74395,81920,71.00,400.00,1155,35
278.18,0,0,74395,81920,71.00,400.00,1155,35
280.25,0,0,74395,81920,71.07,400.00,1155,35
282.37,0,0,74395,81920,71.07,400.00,1155,35
284.44,0,0,74395,81920,71.39,400.00,1155,35
286.5,0,0,74395,81920,71.32,400.00,1155,35
288.57,0,0,74395,81920,71.07,400.00,1155,35
290.63,0,0,74395,81920,71.32,400.00,1155,35
292.77,0,0,74395,81920,71.07,400.00,1155,35
294.84,0,0,74395,81920,71.07,400.00,1155,35
296.9,0,0,74395,81920,71.32,400.00,1155,35
298.96,0,0,74395,81920,71.07,400.00,1155,35
301.02,0,0,74395,81920,71.07,400.00,1155,35
303.09,0,0,74395,81920,71.39,400.00,1155,35
305.15,0,0,74395,81920,71.39,400.00,1155,35
307.21,0,0,74395,81920,71.32,400.00,1155,35
309.27,0,0,74395,81920,71.39,400.00,1155,35
311.33,0,0,74395,81920,71.32,400.00,1155,35
313.47,0,0,74395,81920,71.32,400.00,1155,35
315.53,0,0,74395,81920,71.32,400.00,1155,35
317.6,0,0,74395,81920,71.07,400.00,1155,35
319.66,0,0,74395,81920,71.00,400.00,1155,35
321.73,0,0,74395,81920,71.14,400.00,1155,35
323.79,0,0,74395,81920,71.39,400.00,1155,35
325.85,0,0,74395,81920,71.00,400.00,1155,35
327.91,0,0,74395,81920,71.07,400.00,1155,35
329.97,0,0,74395,81920,71.07,400.00,1155,35
332.03,0,0,74395,81920,71.14,400.00,1155,35
334.08,0,0,74395,81920,71.07,400.00,1155,35
336.14,0,0,74395,81920,71.07,400.00,1155,35
338.2,0,0,74395,81920,71.07,400.00,1155,35
340.26,0,0,74395,81920,71.39,400.00,1155,35
342.42,0,0,74395,81920,71.39,400.00,1155,35
344.48,0,0,74395,81920,71.39,400.00,1155,35
346.54,0,0,74395,81920,71.07,400.00,1155,35
348.6,0,0,74395,81920,71.14,400.00,1155,35
350.69,0,0,74395,81920,71.07,400.00,1155,35
352.81,0,0,74395,81920,71.07,400.00,1155,35
354.87,0,0,74395,81920,71.07,400.00,1155,35
356.93,0,0,74395,81920,71.07,400.00,1155,35
358.99,0,0,74395,81920,71.07,400.00,1155,35
361.06,0,0,74395,81920,71.14,400.00,1155,35
363.15,0,0,74395,81920,71.39,400.00,1155,35
365.22,0,0,74395,81920,71.14,400.00,1155,35
367.28,0,0,74395,81920,71.07,400.00,1155,35
369.34,0,0,74395,81920,71.07,400.00,1155,35
371.4,0,0,74395,81920,71.07,400.00,1155,35
373.54,0,0,74395,81920,71.39,400.00,1155,35
375.61,0,0,74395,81920,71.39,400.00,1155,35
377.68,0,0,74395,81920,71.39,400.00,1155,35
379.75,0,0,74395,81920,71.32,400.00,1155,35
381.81,0,0,74395,81920,71.95,400.00,1155,35
383.98,0,0,74395,81920,71.07,400.00,1155,35
386.04,0,0,74395,81920,71.00,400.00,1155,35
388.11,0,0,74395,81920,71.07,400.00,1155,35
390.17,0,0,74395,81920,71.07,400.00,1155,35
392.24,0,0,74395,81920,71.07,400.00,1155,35
394.3,0,0,74395,81920,70.79,400.00,1155,35
396.37,0,0,74395,81920,71.07,400.00,1155,35
398.44,0,0,74395,81920,71.07,400.00,1155,35
400.51,0,0,74395,81920,71.39,400.00,1155,35
402.58,0,0,74395,81920,71.07,400.00,1155,35
404.64,0,0,74395,81920,71.07,400.00,1155,35
406.71,0,0,74395,81920,70.92,400.00,1155,35
408.78,0,0,74395,81920,71.07,400.00,1155,35
410.9,0,0,74395,81920,71.07,400.00,1155,35
412.96,0,0,74395,81920,71.00,400.00,1155,35
415.03,0,0,74395,81920,71.07,400.00,1155,35
417.09,0,0,74395,81920,71.07,400.00,1155,35
419.16,0,0,74395,81920,71.59,400.00,1155,35
421.23,0,0,74395,81920,71.39,400.00,1155,35
423.3,0,0,74395,81920,71.32,400.00,1155,35
425.37,0,0,74395,81920,71.39,400.00,1155,35
427.44,0,0,74395,81920,71.07,400.00,1155,35
429.51,0,0,74395,81920,71.00,400.00,1155,35
431.58,0,0,74395,81920,71.07,400.00,1155,35
433.65,0,0,74395,81920,71.07,400.00,1155,35
435.71,0,0,74395,81920,71.07,400.00,1155,35
437.78,0,0,74395,81920,71.07,400.00,1155,35
439.84,0,0,74395,81920,71.32,400.00,1155,35
441.91,0,0,74395,81920,71.39,400.00,1155,35
443.98,0,0,74395,81920,71.39,400.00,1155,35
446.05,0,0,74395,81920,71.32,400.00,1155,35
448.12,0,0,74395,81920,71.16,400.00,1155,35
450.27,0,0,74395,81920,71.23,400.00,1155,35
452.33,0,0,74395,81920,70.82,400.00,1155,35
454.4,0,0,74395,81920,70.82,400.00,1155,35
456.47,0,0,74395,81920,71.16,400.00,1155,35
458.54,0,0,74395,81920,71.16,400.00,1155,35
460.6,0,0,74395,81920,71.43,400.00,1155,35
462.67,0,0,74395,81920,71.16,400.00,1155,35
464.74,0,0,74395,81920,71.14,400.00,1155,35
466.81,0,0,74395,81920,71.00,400.00,1155,35
468.88,0,0,74395,81920,71.07,400.00,1155,35
470.95,0,0,74395,81920,71.14,400.00,1155,35
473.01,0,0,74395,81920,71.00,400.00,1155,35
475.07,0,0,74395,81920,71.07,400.00,1155,35
477.14,0,0,74395,81920,71.07,400.00,1155,35
